geo,population
Baden-Württemberg,11100394
Bayern,13124737
Berlin,3669491
Brandenburg,2521893
Bremen,681202
Hamburg,1847253
Hessen,6288080
Mecklenburg-Vorpommern,1608138
Niedersachsen,7993608
Nordrhein-Westfalen,17947221
Rheinland-Pfalz,4093903
Saarland,986887
Sachsen,4071971
Sachsen-Anhalt,2194782
Schleswig-Holstein,2903773
Thüringen,2133378
"Bund (Einsatzkräfte Bundeswehr, Bundespolizei)",
Germany,83166711
